,,,,,,,,,,,,,,,,,,,,,,
,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
,141,Wednesday Sep 14,boxscore,CLE,,LAA,W,5,3,,76-65,1,up 4.0,Stephan,Tepera,Karinchak,2:56,D,14529,0.83,++++++,
,142,Thursday Sep 15,boxscore,CLE,,CHW,L,2,8,,76-66,1,up 3.0,Lynn,Gaddis,,3:04,D,11186,1.08,-,
,143,Friday Sep 16,boxscore,CLE,,MIN,W,4,3,,77-66,1,up 4.0,Stephan,Duran,Clase,2:46,N,20669,1.20,+,
,144,Saturday Sep 17 (1),boxscore,CLE,,MIN,W,5,1,,78-66,1,up 4.5,Bieber,Varland,,2:32,D,18177,0.87,++,
,145,Saturday Sep 17 (2),boxscore,CLE,,MIN,W-wo,7,6,15,79-66,1,up 4.5,McCarty,Rodríguez,,5:24,N,24449,0.62,+++,
,146,Sunday Sep 18,boxscore,CLE,,MIN,L,0,3,,79-67,1,up 3.5,Ryan,Morris,Duran,2:43,D,19601,0.51,-,
,147,Monday Sep 19,boxscore,CLE,,MIN,W,11,4,,80-67,1,up 4.0,Quantrill,Gray,Hentges,3:10,D,12168,0.77,+,
,148,Tuesday Sep 20,boxscore,CLE,@,CHW,W,10,7,11,81-67,1,up 5.0,Clase,Diekman,,3:57,N,23242,0.91,++,
,149,Wednesday Sep 21,boxscore,CLE,@,CHW,W,8,2,,82-67,1,up 6.0,McKenzie,Lynn,,2:31,N,22606,0.37,+++,
,150,Thursday Sep 22,boxscore,CLE,@,CHW,W,4,2,,83-67,1,up 7.0,Bieber,Cueto,Clase,2:33,N,23395,0.10,++++,
,151,Friday Sep 23,boxscore,CLE,@,TEX,W,6,3,,84-67,1,up 8.0,Morris,Hearn,Clase,3:31,N,34862,0.03,+++++,
,152,Saturday Sep 24,boxscore,CLE,@,TEX,W,4,2,,85-67,1,up 9.0,Quantrill,Burke,Clase,2:30,N,28415,0.03,++++++,
,153,Sunday Sep 25,boxscore,CLE,@,TEX,W,10,4,,86-67,1,up10.0,Civale,Ragans,,2:54,D,31845,0.02,+++++++,
,154,Tuesday Sep 27,boxscore,CLE,,TBR,L,5,6,11,86-68,1,up10.0,Guerra,Stephan,Faucher,4:06,N,10775,0.02,-,
,155,Wednesday Sep 28,boxscore,CLE,,TBR,W-wo,2,1,10,87-68,1,up11.0,Karinchak,Guerra,,3:19,N,10674,0.02,+,
,156,Thursday Sep 29,boxscore,CLE,,TBR,W,2,1,,88-68,1,up11.0,De Los Santos,Armstrong,Stephan,2:43,N,11783,0.02,++,
,157,Friday Sep 30,boxscore,CLE,,KCR,W,6,3,,89-68,1,up11.0,Civale,Singer,Clase,2:27,N,19753,0.02,+++,
,158,Saturday Oct 1,boxscore,CLE,,KCR,L,1,7,,89-69,1,up11.0,Bubic,Plesac,,3:21,N,26982,0.01,-,
,159,Sunday Oct 2,boxscore,CLE,,KCR,W,7,5,,90-69,1,up11.0,Bieber,Castillo,Clase,3:00,D,20622,0.01,+,
,160,Monday Oct 3,boxscore,CLE,,KCR,L,2,5,10,90-70,1,up10.0,Barlow,McCarty,Clarke,3:02,N,18688,0.01,-,
,161,Tuesday Oct 4,boxscore,CLE,,KCR,W,5,3,,91-70,1,up10.0,Quantrill,Lynch,Clase,2:33,N,19455,0.01,+,
,162,Wednesday Oct 5,boxscore,CLE,,KCR,W,9,2,,92-70,1,up11.0,Civale,Heasley,,2:39,D,12983,0.00,++,
